config,target_drop_reset_mps,integral_decay_overspeed,kp_brake,pre_mean_mps,pre_std_mps,first_band_entry_ms,confirmed_reach_ms,reach_error_ms,min_speed_mps,final_speed_mps,undershoot_below_band_mps,longest_band_samples,integral_pre_drop,integral_after_drop,integral_at_entry,integral_at_min,throttle_at_entry
A_RESET_CURRENT,0.08,0.97,0.8,0.6718650455757562,0.02777431532050729,500.0,500.0,-60.0,0.43080868736108513,0.46075415611272785,0.04519131263891485,5,0.5994990005461507,0.0,0.0,0.014005353594706048,0.0
B_KEEP_I_DECAY_097,0.25,0.97,0.8,0.6718650455757562,0.02777431532050729,500.0,500.0,-60.0,0.4374248983134355,0.4941885948181809,0.03857510168656447,29,0.5994990005461507,0.5815140305297661,0.27155234300791925,0.28108404758539,0.0
C_KEEP_I_DECAY_099,0.25,0.99,0.8,0.6718650455757562,0.02777431532050729,500.0,500.0,-60.0,0.44062933938986015,0.5099427250200703,0.035370660610139826,41,0.5994990005461507,0.5935040105406891,0.46164009628760405,0.46976876475014845,0.0
D_KEEP_I_DECAY_100,0.25,1.0,0.8,0.6718650455757562,0.02777431532050729,500.0,500.0,-60.0,0.44231348054839587,0.5059545043769338,0.03368651945160411,46,0.5994990005461507,0.5994990005461507,0.5994990005461507,0.6,0.0
