config,phase,elapsed_s,sim_frame,speed_cmd_mps,speed_mps,throttle,brake,gear,speed_error_mps,speed_error_integral,throttle_ff
A_RESET_CURRENT,pre,0.12,2515602,0.7,0.004036231513576292,1.0,0.0,0,0.696424974874307,0.08360482923430415,0.633
A_RESET_CURRENT,pre,0.14,2515603,0.7,0.004245182610400603,1.0,0.0,0,0.6959637684864237,0.09752410460403263,0.633
A_RESET_CURRENT,pre,0.16,2515604,0.7,0.004265781317587058,1.0,0.0,0,0.6957548173895993,0.11143920095182462,0.633
A_RESET_CURRENT,pre,0.18,2515605,0.7,0.004151238144332258,1.0,0.0,0,0.6957342186824129,0.12535388532547287,0.633
A_RESET_CURRENT,pre,0.2,2515606,0.7,0.003944049960250567,1.0,0.0,0,0.6958487618556677,0.13927086056258622,0.633
A_RESET_CURRENT,pre,0.22,2515607,0.7,0.003677385315247819,1.0,0.0,0,0.6960559500397494,0.1531919795633812,0.633
A_RESET_CURRENT,pre,0.24,2515608,0.7,0.0033767976781477575,1.0,0.0,0,0.6963226146847521,0.16711843185707626,0.633
A_RESET_CURRENT,pre,0.26,2515609,0.7,0.0030613763868573233,1.0,0.0,0,0.6966232023218522,0.1810508959035133,0.633
A_RESET_CURRENT,pre,0.28,2515610,0.7,0.0027451013096508855,1.0,0.0,0,0.6969386236131426,0.19498966837577617,0.633
A_RESET_CURRENT,pre,0.3,2515611,0.7,0.002437967384781181,1.0,0.0,0,0.6972548986903491,0.20893476634958313,0.633
A_RESET_CURRENT,pre,0.32,2515612,0.7,0.002146743023191239,1.0,0.0,0,0.6975620326152188,0.22288600700188752,0.633
A_RESET_CURRENT,pre,0.34,2515613,0.7,0.0018756960362001397,1.0,0.0,0,0.6978532569768087,0.2368430721414237,0.633
A_RESET_CURRENT,pre,0.36,2515614,0.7,0.0016271477436462383,1.0,0.0,0,0.6981243039637998,0.25080555822069966,0.633
A_RESET_CURRENT,pre,0.38,2515615,0.7,0.0014021800830502495,1.0,0.0,0,0.6983728522563537,0.26477301526582675,0.633
A_RESET_CURRENT,pre,0.4,2515616,0.7,0.001200651150582877,1.0,0.0,0,0.6985978199169497,0.27874497166416573,0.633
A_RESET_CURRENT,pre,0.42,2515617,0.7,0.0010219178501140371,1.0,0.0,0,0.6987993488494171,0.29272095864115405,0.633
A_RESET_CURRENT,pre,0.44,2515618,0.7,0.0008646717392612951,1.0,0.0,0,0.6989780821498859,0.3067005202841518,0.633
A_RESET_CURRENT,pre,0.46,2515619,0.7,0.0007273947908342412,1.0,0.0,0,0.6991353282607387,0.32068322684936656,0.633
A_RESET_CURRENT,pre,0.48,2515620,0.7,0.0006084412808857991,1.0,0.0,0,0.6992726052091657,0.3346686789535499,0.633
A_RESET_CURRENT,pre,0.5,2515621,0.7,0.0005060409467185633,1.0,0.0,0,0.6993915587191142,0.3486565101279322,0.633
A_RESET_CURRENT,pre,0.52,2515622,0.7,0.00041841221556036134,1.0,0.0,0,0.6994939590532814,0.36264638930899784,0.633
A_RESET_CURRENT,pre,0.54,2515623,0.7,0.0003439443808892684,1.0,0.0,0,0.6995815877844396,0.37663802106468663,0.633
A_RESET_CURRENT,pre,0.56,2515624,0.7,0.0002809712772151556,1.0,0.0,0,0.6996560556191107,0.39063114217706885,0.633
A_RESET_CURRENT,pre,0.58,2515625,0.7,0.0002280317370056602,1.0,0.0,0,0.6997190287227848,0.4046255227515245,0.633
A_RESET_CURRENT,pre,0.6,2515626,0.7,0.00018381720298654784,1.0,0.0,0,0.6997719682629943,0.4186209621167844,0.633
A_RESET_CURRENT,pre,0.62,2515627,0.7,0.00014708884314620368,1.0,0.0,0,0.6998161827970134,0.4326172857727247,0.633
A_RESET_CURRENT,pre,0.64,2515628,0.7,0.00011683758380792838,1.0,0.0,0,0.6998529111568538,0.44661434399586175,0.633
A_RESET_CURRENT,pre,0.66,2515629,0.7,9.207128938002512e-05,1.0,0.0,0,0.699883162416192,0.4606120072441856,0.633
