kp_brake,phase,elapsed_s,sim_frame,speed_cmd_mps,speed_mps,throttle,brake,gear,manual_gear_shift,speed_error_mps
0.8,pre,0.46,2434768,0.7,0.0007273947908342412,1.0,0.0,0,0,0.6991353282607387
0.8,pre,0.48,2434769,0.7,0.0006084412808857991,1.0,0.0,0,0,0.6992726052091657
0.8,pre,0.5,2434770,0.7,0.0005060409467185633,1.0,0.0,0,0,0.6993915587191142
0.8,pre,0.52,2434771,0.7,0.00041841221556036134,1.0,0.0,0,0,0.6994939590532814
0.8,pre,0.54,2434772,0.7,0.0003439443808892684,1.0,0.0,0,0,0.6995815877844396
0.8,pre,0.56,2434773,0.7,0.0002809712772151556,1.0,0.0,0,0,0.6996560556191107
0.8,pre,0.58,2434774,0.7,0.0002280317370056602,1.0,0.0,0,0,0.6997190287227848
0.8,pre,0.6,2434775,0.7,0.00018381720298654784,1.0,0.0,0,0,0.6997719682629943
0.8,pre,0.62,2434776,0.7,0.00014708884314620368,1.0,0.0,0,0,0.6998161827970134
0.8,pre,0.64,2434777,0.7,0.00011683758380792838,1.0,0.0,0,0,0.6998529111568538
0.8,pre,0.66,2434778,0.7,9.207128938002512e-05,1.0,0.0,0,0,0.699883162416192
0.8,pre,0.68,2434779,0.7,7.188597660825825e-05,1.0,0.0,0,0,0.6999079287106199
0.8,pre,0.7000000000000001,2434780,0.7,5.5636499514612494e-05,1.0,0.0,0,0,0.6999281140233917
0.8,pre,0.72,2434781,0.7,4.264337525905352e-05,1.0,0.0,0,0,0.6999443635004854
0.8,pre,0.74,2434782,0.7,3.2391904430805485e-05,1.0,0.0,0,0,0.6999573566247409
0.8,pre,0.76,2434783,0.7,2.4405311790318018e-05,1.0,0.0,0,0,0.6999676080955691
0.8,pre,0.78,2434784,0.7,1.832520593156819e-05,1.0,0.0,0,0,0.6999755946882097
0.8,pre,0.8,2434785,0.7,1.386455898663868e-05,1.0,0.0,0,0,0.6999816747940684
0.8,pre,0.8200000000000001,2434786,0.7,1.0707881605360012e-05,1.0,0.0,0,0,0.6999861354410133
0.8,pre,0.84,2434787,0.7,8.648796700463393e-06,1.0,0.0,0,0,0.6999892921183946
0.8,pre,0.86,2434788,0.7,7.3886727780105416e-06,1.0,0.0,0,0,0.6999913512032995
0.8,pre,0.88,2434789,0.7,6.640818772574888e-06,1.0,0.0,0,0,0.6999926113272219
0.8,pre,0.9,2434790,0.7,6.202418784294622e-06,1.0,0.0,0,0,0.6999933591812274
0.8,pre,0.92,2434791,0.7,0.0,1.0,0.0,0,0,0.6999937975812157
0.8,pre,0.9400000000000001,2434792,0.7,2.4047880384400944e-06,1.0,0.0,0,0,0.7
0.8,pre,0.96,2434793,0.7,2.9783583926509783e-06,1.0,0.0,0,0,0.6999975952119615
0.8,pre,0.98,2434794,0.7,3.224433393524613e-06,1.0,0.0,0,0,0.6999970216416073
0.8,pre,1.0,2434795,0.7,3.205771260331307e-06,1.0,0.0,0,0,0.6999967755666064
0.8,pre,1.02,2434796,0.7,0.02441676709385187,1.0,0.0,0,0,0.6999967942287396
0.8,pre,1.04,2434797,0.7,0.0730955246860571,1.0,0.0,1,0,0.6755832329061481
0.8,pre,1.06,2434798,0.7,0.11934708485153762,1.0,0.0,1,0,0.6269044753139429
0.8,pre,1.08,2434799,0.7,0.1620844743006149,1.0,0.0,1,0,0.5806529151484623
0.8,pre,1.1,2434800,0.7,0.20099957263776283,1.0,0.0,1,0,0.537915525699385
0.8,pre,1.12,2434801,0.7,0.23615050631052764,1.0,0.0,1,0,0.49900042736223715
0.8,pre,1.1400000000000001,2434802,0.7,0.2678518089029834,1.0,0.0,1,0,0.4638494936894723
0.8,pre,1.16,2434803,0.7,0.29645059398754203,1.0,0.0,1,0,0.4321481910970166
0.8,pre,1.18,2434804,0.7,0.3222284101808801,1.0,0.0,1,0,0.4035494060124579
0.8,pre,1.2,2434805,0.7,0.34549181626024633,1.0,0.0,1,0,0.37777158981911985
0.8,pre,1.22,2434806,0.7,0.3665465365069859,1.0,0.0,1,0,0.3545081837397536
0.8,pre,1.24,2434807,0.7,0.3856797461879059,1.0,0.0,1,0,0.3334534634930141
0.8,pre,1.26,2434808,0.7,0.4031517984315012,1.0,0.0,1,0,0.31432025381209405
0.8,pre,1.28,2434809,0.7,0.4191945076222662,1.0,0.0,1,0,0.2968482015684988
0.8,pre,1.3,2434810,0.7,0.43401122094214883,1.0,0.0,1,0,0.2808054923777338
0.8,pre,1.32,2434811,0.7,0.4477673054813406,0.9910904765129089,0.0,1,0,0.2659887790578511
0.8,pre,1.34,2434812,0.7,0.4605864527603907,0.9793977737426758,0.0,1,0,0.2522326945186594
0.8,pre,1.36,2434813,0.7,0.47257127809992366,0.9685015082359314,0.0,1,0,0.23941354723960928
0.8,pre,1.3800000000000001,2434814,0.7,0.48381214211434764,0.9583144187927246,0.0,1,0,0.2274287219000763
0.8,pre,1.4000000000000001,2434815,0.7,0.49438824743559157,0.9487596750259399,0.0,1,0,0.2161878578856523
0.8,pre,1.42,2434816,0.7,0.5043689261717933,0.939769983291626,0.0,1,0,0.2056117525644084
0.8,pre,1.44,2434817,0.7,0.5139678013793864,0.9312863945960999,0.0,1,0,0.19563107382820666
0.8,pre,1.46,2434818,0.7,0.5230068220678434,0.9231273531913757,0.0,1,0,0.1860321986206136
0.8,pre,1.48,2434819,0.7,0.5316037669771454,0.9154441952705383,0.0,1,0,0.17699317793215652
0.8,pre,1.5,2434820,0.7,0.5389976039997433,0.908136785030365,0.0,1,0,0.16839623302285456
0.8,pre,1.52,2434821,0.7,0.5421443954793825,0.901852011680603,0.0,1,0,0.16100239600025668
0.8,pre,1.54,2434822,0.7,0.5416110054824272,0.8991772532463074,0.0,1,0,0.15785560452061742
0.8,pre,1.56,2434823,0.7,0.541594602367496,0.8996306657791138,0.0,1,0,0.1583889945175727
0.8,pre,1.58,2434824,0.7,0.5419878023691588,0.8996446132659912,0.0,1,0,0.15840539763250394
0.8,pre,1.6,2434825,0.7,0.5428034800479755,0.8993103504180908,0.0,1,0,0.15801219763084118
0.8,pre,1.62,2434826,0.7,0.5440306204451163,0.8986170291900635,0.0,1,0,0.15719651995202444
0.8,pre,1.6400000000000001,2434827,0.7,0.5456528680444444,0.8975739479064941,0.0,1,0,0.15596937955488366
0.8,pre,1.6600000000000001,2434828,0.7,0.5476506248499539,0.8961950540542603,0.0,1,0,0.1543471319555556
0.8,pre,1.68,2434829,0.7,0.5500027193148862,0.8944969773292542,0.0,1,0,0.1523493751500461
0.8,pre,1.7,2434830,0.7,0.5526866924255955,0.892497718334198,0.0,1,0,0.14999728068511375
0.8,pre,1.72,2434831,0.7,0.5556790838114589,0.8902162909507751,0.0,1,0,0.14731330757440442
0.8,pre,1.74,2434832,0.7,0.5589558132067494,0.8876727819442749,0.0,1,0,0.14432091618854104
0.8,pre,1.76,2434833,0.7,0.5624924665571058,0.8848875761032104,0.0,1,0,0.1410441867932506
0.8,pre,1.78,2434834,0.7,0.5662645821204095,0.8818814158439636,0.0,1,0,0.13750753344289413
0.8,pre,1.8,2434835,0.7,0.5702471736308016,0.878675103187561,0.0,1,0,0.13373541787959042
0.8,pre,1.82,2434836,0.7,0.5744158747082428,0.8752899169921875,0.0,1,0,0.12975282636919838
0.8,pre,1.84,2434837,0.7,0.5787464620222335,0.8717464804649353,0.0,1,0,0.1255841252917571
0.8,pre,1.86,2434838,0.7,0.5832154274982716,0.8680655360221863,0.0,1,0,0.1212535379777665
0.8,pre,1.8800000000000001,2434839,0.7,0.5878000736838163,0.8642668724060059,0.0,1,0,0.11678457250172836
0.8,pre,1.9000000000000001,2434840,0.7,0.5924785137508486,0.8603699207305908,0.0,1,0,0.1121999263161837
0.8,pre,1.92,2434841,0.7,0.5972296714942507,0.8563932776451111,0.0,1,0,0.10752148624915137
0.8,pre,1.94,2434842,0.7,0.6020338058530471,0.8523547649383545,0.0,1,0,0.1027703285057493
0.8,pre,1.96,2434843,0.7,0.6068725585948938,0.8482712507247925,0.0,1,0,0.09796619414695285
0.8,pre,1.98,2434844,0.7,0.6117280960083098,0.8441583514213562,0.0,1,0,0.0931274414051062
0.8,pre,2.0,2434845,0.7,0.6165841579449669,0.8400311470031738,0.0,1,0,0.08827190399169016
0.8,pre,2.02,2434846,0.7,0.6214262962380201,0.8359034657478333,0.0,1,0,0.08341584205503305
0.8,pre,2.04,2434847,0.7,0.6262403488230569,0.831787645816803,0.0,1,0,0.07857370376197981
0.8,pre,2.06,2434848,0.7,0.6310141086685317,0.8276957273483276,0.0,1,0,0.07375965117694305
0.8,pre,2.08,2434849,0.7,0.6357361793660095,0.8236380219459534,0.0,1,0,0.06898589133146826
0.8,pre,2.1,2434850,0.7,0.6403964042838959,0.8196242451667786,0.0,1,0,0.0642638206339905
